theta_deg,a,mismatch_plus,mismatch_cross,optimized
30.0,0.0,0.055482645995575286,0.056392686831444605,False
30.0,0.8,0.051932842870678675,0.0527950649864386,False
30.0,0.99,0.050706567696696125,0.051551046537237855,False
30.0,0.999,0.05075161851834742,0.05159728899697813,False
30.0,-0.99,0.05827655108837271,0.0594066361941058,False
60.0,0.0,0.01602828070637552,0.023833083196540983,False
60.0,0.8,0.017305179984800856,0.025562030201140784,False
60.0,0.99,0.017939281285077824,0.02646393440056105,False
60.0,0.999,0.017974927162540677,0.02652223416049304,False
60.0,-0.99,0.01509089329178992,0.02256974430469716,False
